70 unique phonemes
70 unique phonemes
70 unique phonemes
70 unique phonemes
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
{'loss': 7.0067, 'grad_norm': 241.70509338378906, 'learning_rate': 1.516530178950561e-07, 'epoch': 0.0}
{'loss': 6.6865, 'grad_norm': 42.17976379394531, 'learning_rate': 3.033060357901122e-07, 'epoch': 0.01}
{'loss': 6.5852, 'grad_norm': 83.57411193847656, 'learning_rate': 4.5495905368516834e-07, 'epoch': 0.01}
{'loss': 6.5168, 'grad_norm': 56.69873809814453, 'learning_rate': 6.066120715802244e-07, 'epoch': 0.02}
{'loss': 6.4221, 'grad_norm': 86.54779052734375, 'learning_rate': 7.582650894752806e-07, 'epoch': 0.02}
{'loss': 6.3002, 'grad_norm': 30.250354766845703, 'learning_rate': 9.099181073703367e-07, 'epoch': 0.03}
{'loss': 6.1744, 'grad_norm': 24.478483200073242, 'learning_rate': 1.0615711252653927e-06, 'epoch': 0.03}
{'loss': 6.1006, 'grad_norm': 22.180105209350586, 'learning_rate': 1.213224143160449e-06, 'epoch': 0.04}
{'loss': 6.0216, 'grad_norm': 16.76487922668457, 'learning_rate': 1.3648771610555051e-06, 'epoch': 0.04}
{'loss': 5.9437, 'grad_norm': 18.33357810974121, 'learning_rate': 1.5165301789505611e-06, 'epoch': 0.05}
{'loss': 5.8956, 'grad_norm': 42.74510955810547, 'learning_rate': 1.6681831968456171e-06, 'epoch': 0.05}
{'loss': 5.866, 'grad_norm': 483.1570129394531, 'learning_rate': 1.8198362147406733e-06, 'epoch': 0.05}
{'loss': 5.8441, 'grad_norm': 11.962392807006836, 'learning_rate': 1.9714892326357296e-06, 'epoch': 0.06}
{'loss': 5.8229, 'grad_norm': 12.219011306762695, 'learning_rate': 2.1231422505307854e-06, 'epoch': 0.06}
{'loss': 5.8399, 'grad_norm': 84.62102508544922, 'learning_rate': 2.2747952684258416e-06, 'epoch': 0.07}
{'loss': 5.7838, 'grad_norm': 17.56612777709961, 'learning_rate': 2.426448286320898e-06, 'epoch': 0.07}
