70 unique phonemes
70 unique phonemes
70 unique phonemes
70 unique phonemes
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
{'loss': 7.1238, 'grad_norm': 47.83717346191406, 'learning_rate': 1.516530178950561e-07, 'epoch': 0.0}
{'loss': 6.7412, 'grad_norm': 163.9886932373047, 'learning_rate': 3.033060357901122e-07, 'epoch': 0.01}
{'loss': 6.6705, 'grad_norm': 64.68274688720703, 'learning_rate': 4.5495905368516834e-07, 'epoch': 0.01}
{'loss': 6.6034, 'grad_norm': 53.6068000793457, 'learning_rate': 6.066120715802244e-07, 'epoch': 0.02}
{'loss': 6.5393, 'grad_norm': 69.67927551269531, 'learning_rate': 7.582650894752806e-07, 'epoch': 0.02}
{'loss': 6.3882, 'grad_norm': 368.27996826171875, 'learning_rate': 9.099181073703367e-07, 'epoch': 0.03}
{'loss': 6.2604, 'grad_norm': 22.42972183227539, 'learning_rate': 1.0615711252653927e-06, 'epoch': 0.03}
{'loss': 6.1971, 'grad_norm': 27.038429260253906, 'learning_rate': 1.213224143160449e-06, 'epoch': 0.04}
{'loss': 6.0606, 'grad_norm': 1265.0816650390625, 'learning_rate': 1.3648771610555051e-06, 'epoch': 0.04}
{'loss': 6.0085, 'grad_norm': 17.962646484375, 'learning_rate': 1.5165301789505611e-06, 'epoch': 0.05}
{'loss': 5.94, 'grad_norm': 29.604726791381836, 'learning_rate': 1.6681831968456171e-06, 'epoch': 0.05}
{'loss': 5.8868, 'grad_norm': 30.357019424438477, 'learning_rate': 1.8198362147406733e-06, 'epoch': 0.05}
{'loss': 5.8615, 'grad_norm': 27.75782585144043, 'learning_rate': 1.9714892326357296e-06, 'epoch': 0.06}
{'loss': 5.8309, 'grad_norm': 34.563682556152344, 'learning_rate': 2.1231422505307854e-06, 'epoch': 0.06}
{'loss': 5.8408, 'grad_norm': 61.92702102661133, 'learning_rate': 2.2747952684258416e-06, 'epoch': 0.07}
{'loss': 5.8116, 'grad_norm': 32.50753402709961, 'learning_rate': 2.426448286320898e-06, 'epoch': 0.07}
{'loss': 5.7815, 'grad_norm': 25.01909828186035, 'learning_rate': 2.578101304215954e-06, 'epoch': 0.08}
{'loss': 5.7536, 'grad_norm': 15.438714981079102, 'learning_rate': 2.7297543221110102e-06, 'epoch': 0.08}
{'loss': 5.7583, 'grad_norm': 44.66266632080078, 'learning_rate': 2.881407340006066e-06, 'epoch': 0.09}
{'loss': 5.7389, 'grad_norm': 29.739486694335938, 'learning_rate': 3.0330603579011222e-06, 'epoch': 0.09}
{'loss': 5.7077, 'grad_norm': 26.58075714111328, 'learning_rate': 3.1847133757961785e-06, 'epoch': 0.1}
{'loss': 5.7134, 'grad_norm': 48.741641998291016, 'learning_rate': 3.3363663936912343e-06, 'epoch': 0.1}
{'loss': 5.7063, 'grad_norm': 14.674870491027832, 'learning_rate': 3.488019411586291e-06, 'epoch': 0.1}
{'loss': 5.6923, 'grad_norm': 17.071796417236328, 'learning_rate': 3.6396724294813467e-06, 'epoch': 0.11}
{'loss': 5.668, 'grad_norm': 14.14462661743164, 'learning_rate': 3.791325447376403e-06, 'epoch': 0.11}
{'loss': 5.6465, 'grad_norm': 14.502842903137207, 'learning_rate': 3.942978465271459e-06, 'epoch': 0.12}
{'loss': 5.6365, 'grad_norm': 9.25191879272461, 'learning_rate': 4.094631483166515e-06, 'epoch': 0.12}
{'loss': 5.6185, 'grad_norm': 375.89874267578125, 'learning_rate': 4.246284501061571e-06, 'epoch': 0.13}
{'loss': 5.6456, 'grad_norm': 26.322431564331055, 'learning_rate': 4.397937518956628e-06, 'epoch': 0.13}
{'loss': 5.617, 'grad_norm': 9.706991195678711, 'learning_rate': 4.549590536851683e-06, 'epoch': 0.14}
{'loss': 5.6054, 'grad_norm': 40.077083587646484, 'learning_rate': 4.70124355474674e-06, 'epoch': 0.14}
{'loss': 5.6106, 'grad_norm': 13.521829605102539, 'learning_rate': 4.852896572641796e-06, 'epoch': 0.15}
{'loss': 5.611, 'grad_norm': 27.73356819152832, 'learning_rate': 5.004549590536852e-06, 'epoch': 0.15}
{'loss': 5.6108, 'grad_norm': 19.691375732421875, 'learning_rate': 5.156202608431908e-06, 'epoch': 0.15}
